OBS,County,Current.Price,Address,Zip,Median.Home.Price,Median.Household.Income,Beds,Full.Baths,Half.Baths,Heated.Area,Year.Built,Pool,Property.Style,Pool.Type,Property.Style.Type
1,Seminole,1350,217 DEBORA CT,32701,153700,52746,3,2,1,1407,1975,Community,Townhouse,1,0
2,Seminole,1395,122 HOLLYHOCK DR,32701,153700,52746,3,2,0,1363,1971,None,Single Family Residence,0,1
3,Seminole,1467,404 OAKHURST ST,32701,153700,52746,3,2,0,1298,1968,None,Single Family Residence,0,1
4,Seminole,1500,691 OAK HARBOUR DR Unit#109,32701,153700,52746,2,2,1,1616,1990,Community,Townhouse,1,0
5,Seminole,1600,137 HATTAWAY DR,32701,153700,52746,3,2,0,1755,1971,None,Single Family Residence,0,1
6,Seminole,1600,855 BISHOP DR,32701,153700,52746,3,3,0,1529,1967,None,Single Family Residence,0,1
7,Seminole,1600,679 SCARLET OAK CIR Unit#105,32701,153700,52746,3,2,1,1638,1996,Community,Townhouse,1,0
8,Seminole,1625,638 MAPLE OAK CIR Unit#112,32701,153700,52746,2,2,1,1616,1987,Community,Townhouse,1,0
9,Seminole,1745,671 POST OAK CIR Unit#103,32701,153700,52746,3,2,1,1845,1998,Community,Townhouse,1,0
10,Seminole,1995,473 WINDMILL PALM CIR,32701,153700,52746,3,3,1,1904,2018,Community,Townhouse,1,0
11,Orange,1150,316 N CERVIDAE DR,32703,142900,48417,2,2,0,1233,1987,None,Single Family Residence,0,1
12,Orange,1195,3531 COUNTRY ROSE LN,32703,142900,48417,2,1,0,1200,2000,None,Single Family Residence,0,1
13,Orange,1200,1802 N HAMMON DR,32703,142900,48417,4,1,1,1342,1970,None,Single Family Residence,0,1
14,Orange,1250,140 E CLEVELAND ST,32703,142900,48417,3,2,0,1454,2014,None,Single Family Residence,0,1
15,Orange,1285,1309 RAVIDA WOODS DR,32703,142900,48417,4,2,0,1693,1992,None,Single Family Residence,0,1
16,Orange,1350,801 E 10TH ST,32703,142900,48417,3,2,0,1696,1999,None,Single Family Residence,0,1
17,Orange,1395,1626 CLARCONA RD,32703,142900,48417,3,2,0,1400,2000,None,Single Family Residence,0,1
18,Orange,1450,251 RHAPSODY LN,32703,142900,48417,3,2,0,1267,2001,None,Single Family Residence,0,1
19,Orange,1450,2209 PEBBLEWOOD DR,32703,142900,48417,3,2,0,1538,1995,None,Single Family Residence,0,1
20,Orange,1450,118 KINNEY CT,32703,142900,48417,3,2,0,1331,2001,None,Single Family Residence,0,1
21,Orange,1450,232 OAK RUN CT,32703,142900,48417,4,2,0,1310,2000,None,Single Family Residence,0,1
22,Orange,1495,2091 ARBOR WAY ST,32703,142900,48417,3,2,0,1545,1991,None,Single Family Residence,0,1
23,Orange,1500,2091 WENTHWORTH CIR,32703,142900,48417,3,2,0,1946,1992,None,Single Family Residence,0,1
24,Orange,1500,1030 WINDY WAY,32703,142900,48417,3,2,0,1346,1992,None,Single Family Residence,0,1
25,Orange,1500,1626 WOODSTONE DR,32703,142900,48417,3,2,0,1461,2000,None,Single Family Residence,0,1
26,Orange,1500,255 E 2ND ST,32703,142900,48417,4,2,0,1600,1979,None,Single Family Residence,0,1
27,Orange,1500,1932 OLIVIA CIR,32703,142900,48417,4,2,0,1844,1998,None,Single Family Residence,0,1
28,Orange,1510,1635 SUNSET VIEW CIR,32703,142900,48417,3,2,0,1319,1995,None,Single Family Residence,0,1
29,Orange,1510,337 MANTIS LOOP,32703,142900,48417,3,2,0,1468,1988,None,Single Family Residence,0,1
30,Orange,1540,1722 WEKIVA CROSSING BLVD,32703,142900,48417,3,2,0,1292,1999,None,Single Family Residence,0,1
31,Seminole,1550,5802 BEAR LAKE CIR,32703,142900,48417,3,1,1,1734,1952,None,Single Family Residence,0,1
32,Orange,1550,1890 SUMMIT CHASE AVE,32703,142900,48417,4,2,1,1904,1986,None,Single Family Residence,0,1
33,Seminole,1550,2912 AUTUMNWOOD TRL,32703,142900,48417,4,2,0,1657,1981,Private,Single Family Residence,1,1
34,Orange,1560,1849 CONCORD DR,32703,142900,48417,3,2,0,1551,1990,None,Single Family Residence,0,1
35,Orange,1585,960 WINDSONG CIR,32703,142900,48417,3,2,0,1344,2003,None,Single Family Residence,0,1
36,Orange,1585,1449 CRAWFORD DR,32703,142900,48417,3,2,0,1544,1991,None,Single Family Residence,0,1
37,Orange,1595,1148 E 10TH ST,32703,142900,48417,3,2,0,1648,2017,None,Townhouse,0,0
38,Orange,1600,1036 ROYAL OAKS DR,32703,142900,48417,3,2,0,1253,1994,Community,Single Family Residence,1,1
39,Orange,1600,1062 ROYAL OAKS DR,32703,142900,48417,3,2,0,1644,1994,Community,Single Family Residence,1,1
40,Orange,1600,1062 ROYAL OAKS DR,32703,142900,48417,3,2,0,1644,1994,None,Single Family Residence,0,1
41,Orange,1610,2225 COBBLEFIELD CIR,32703,142900,48417,3,2,0,1503,1997,None,Single Family Residence,0,1
42,Orange,1610,1825 CONCORD DR,32703,142900,48417,3,2,0,1626,1991,None,Single Family Residence,0,1
